id,item_id,item_name,item_type,indent,received,balance
1,1,TEXT BOOKS,SEM-I,60340,60340,0
2,1,TEXT BOOKS,SEM-II,17860,17860,0
3,1,TEXT BOOKS,TOTAL,78200,78200,0
4,2,WORK BOOKS,SEM-I,18533,18533,0
5,2,WORK BOOKS,SEM-II,7902,7902,0
6,2,WORK BOOKS,TOTAL,26435,26435,0
7,3,NOTEBOOKS,WHITE,17924,17924,0
8,3,NOTEBOOKS,RULE,19792,19792,0
9,3,NOTEBOOKS,BROAD,4357,4357,0
10,3,NOTEBOOKS,GRAPH,2489,2489,0
11,3,NOTEBOOKS,TOTAL,44562,44562,0
12,4,BAGS,SMALL,1866,1866,0
13,4,BAGS,MEDIUM,3017,3017,0
14,4,BAGS,LARGE,4357,4357,0
15,4,BAGS,TOTAL,9240,9240,0
16,5,BELTS,SMALL,4883,4883,0
17,5,BELTS,MEDIUM,1344,1344,0
18,5,BELTS,LARGE,798,798,0
19,5,BELTS,TOTAL,7025,7025,0
20,6,UNIFORMS,BOYS,4604,4604,0
21,6,UNIFORMS,GIRLS,4636,4636,0
22,6,UNIFORMS,TOTAL,9240,9240,0
23,7,DICTIONARIES,PICTORIALS,933,933,0
24,7,DICTIONARIES,OXFORD,939,939,0
25,7,DICTIONARIES,TOTAL,1872,1872,0
26,8,SHOES,BOYS,4609,4609,0
27,8,SHOES,GIRLS,4631,4631,0
28,8,SHOES,TOTAL,9240,9240,0
